Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
DV1173-CMD,Default tag table,Bool,%Q23.0,MMFL1 Inline Heat Exchanger inlet valve Valve OPEN / CLOSE command,True,True,True,,
DV3101-CMD,Default tag table,Bool,%Q24.4,S1 Vent Valve Valve OPEN / CLOSE command,True,True,True,,
DV3103-CMD,Default tag table,Bool,%Q24.5,S1 HP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV3105-CMD,Default tag table,Bool,%Q24.6,S1 LP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV3107-CMD,Default tag table,Bool,%Q24.7,S1 Vacuum valve Valve OPEN / CLOSE command,True,True,True,,
DV3109-CMD,Default tag table,Bool,%Q25.0,S1 PS Supply for WFI Loop Valve OPEN / CLOSE command,True,True,True,,
DV3111-CMD,Default tag table,Bool,%Q25.1,S1 WFI Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV3113-CMD,Default tag table,Bool,%Q25.2,S1 PW Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV3115-CMD,Default tag table,Bool,%Q25.3,S1 PS Supply for PW Loop Valve OPEN / CLOSE command,True,True,True,,
DV3117-CMD,Default tag table,Bool,%Q25.4,S1 Spray Ball 1 Valve Valve OPEN / CLOSE command,True,True,True,,
DV3119-CMD,Default tag table,Bool,%Q25.5,S1 Spray Ball 2 Valve Valve OPEN / CLOSE command,True,True,True,,
DV3121-CMD,Default tag table,Bool,%Q25.6,S1 Outlet Valve Valve OPEN / CLOSE command,True,True,True,,
DV3123-CMD,Default tag table,Bool,%Q25.7,S1 Transfer line valve from vessel Valve OPEN / CLOSE command,True,True,True,,
DV3125-CMD,Default tag table,Bool,%Q26.0,S1 Transfer line valve from SMFL Valve OPEN / CLOSE command,True,True,True,,
DV3127-CMD,Default tag table,Bool,%Q26.1,S1 Transfer line valve to drain Valve OPEN / CLOSE command,True,True,True,,
DV3129-CMD,Default tag table,Bool,%Q26.2,S1 Transfer line valve to filling Valve OPEN / CLOSE command,True,True,True,,
MI1101-RAW,Default tag table,Int,%IW36,M1 Mass Indicator Load cell raw field value,True,True,True,,
AG1101-OUT,Default tag table,Real,%QD12,M1 Agitator Inverter speed output value,True,True,True,,
alwaysLow,Default tag table,Bool,%M0.0,,True,True,True,,
alwaysHigh,Default tag table,Bool,%M0.1,,True,True,True,,
uncondJump,Default tag table,Bool,%M0.2,,True,True,True,,
flagFirstScanRestart,Default tag table,Bool,%M0.3,,True,True,True,,
alarmsEnabled,Default tag table,Bool,%M0.4,,True,True,True,,
Clock_0_5S_2Hz,Default tag table,Bool,%M1.0,,True,True,True,,
Clock_2_0S_0_5Hz,Default tag table,Bool,%M1.1,,True,True,True,,
AlarmMsgEvent,Default tag table,Bool,%M1.2,,True,True,True,,
HEART_BEAT_CPU1,Default tag table,Bool,%M1.3,CPU 1 Heartbeat,True,True,True,,
HEART_BEAT_CPU2,Default tag table,Bool,%M1.4,CPU 2 Heartbeat,True,True,True,,
HMI_Ack_Cancel,Default tag table,Bool,%M1.5,,True,True,True,,
commsEnable,Default tag table,Bool,%M1.6,,True,True,True,,
pulseCOMMS,Default tag table,Bool,%M1.7,,True,True,True,,
X-RCVBufferLoaded,Default tag table,Bool,%M2.0,,True,True,True,,
X-RCV_EN_DT,Default tag table,Bool,%M2.1,,True,True,True,,
X-SEND_REQ,Default tag table,Bool,%M2.2,Multiplexing GD packet initiate,True,True,True,,
X-Send-Busy,Default tag table,Bool,%M2.3,,True,True,True,,
SetTimeandDate,Default tag table,Bool,%M2.7,,True,True,True,,
xGroup1,Default tag table,Bool,%M3.4,Communications transfer group 1,True,True,True,,
xGroup2,Default tag table,Bool,%M3.5,Communications transfer group 2,True,True,True,,
xGroup3,Default tag table,Bool,%M3.6,Communications transfer group 3,True,True,True,,
xGroup4,Default tag table,Bool,%M3.7,Communications transfer group 4,True,True,True,,
COMMAND_START_HMI_CRP1,Default tag table,Bool,%M4.0,Start Command from CRP1,True,True,True,,
COMMAND_START_HMI_CRP2,Default tag table,Bool,%M4.1,Start Command from CRP2,True,True,True,,
hmiCIPSIP_SELECTED,Default tag table,Bool,%M4.2,,True,True,True,,
timeManagement,Default tag table,Bool,%M5.0,,True,True,True,,
enableEvents,Default tag table,Bool,%M5.1,,True,True,True,,
testEventPrompt,Default tag table,Int,%MW20,,True,True,True,,
testEventLogMsg,Default tag table,Int,%MW21,,True,True,True,,
testEventLogReal,Default tag table,Int,%MW22,,True,True,True,,
testEventLogTime,Default tag table,Int,%MW23,,True,True,True,,
timePLCStatus,Default tag table,Int,%MW30,,True,True,True,,
timeOBMax,Default tag table,Word,%MW40,,True,True,True,,
timerHeartRate,Default tag table,Timer,%T1,,True,True,True,,
timerPCSync,Default tag table,Timer,%T2,,True,True,True,,
timerCIPSIPSelect,Default tag table,Timer,%T3,,True,True,True,,
timerComms,Default tag table,Timer,%T4,,True,True,True,,
timePulseAlarmInit,Default tag table,Timer,%T5,,True,True,True,,
clockReservedW,Default tag table,Word,%MW0,Reserved for Clock Byte,True,True,True,,
clockReservedDW,Default tag table,DWord,%MD0,Reserved for Clock Byte,True,True,True,,
Tag_1,Default tag table,Bool,%M100.1,,True,True,True,,
timerVBS,Default tag table,Timer,%T6,,True,True,True,,
pulseVBS,Default tag table,Bool,%M4.3,,True,True,True,,
System_Byte,Default tag table,Byte,%MB100,,True,True,True,,
FirstScan,Default tag table,Bool,%M100.0,,True,True,True,,
DiagStatusUpdate,Default tag table,Bool,%M100.1,,True,True,True,,
AlwaysTRUE,Default tag table,Bool,%M100.2,,True,True,True,,
AlwaysFALSE,Default tag table,Bool,%M100.3,,True,True,True,,
System_Byte(1),Default tag table,Byte,%MB1,,True,True,True,,
Clock_Byte,Default tag table,Byte,%MB110,,True,True,True,,
Clock_10Hz,Default tag table,Bool,%M110.0,,True,True,True,,
Clock_5Hz,Default tag table,Bool,%M110.1,,True,True,True,,
Clock_2.5Hz,Default tag table,Bool,%M110.2,,True,True,True,,
Clock_2Hz,Default tag table,Bool,%M110.3,,True,True,True,,
Clock_1.25Hz,Default tag table,Bool,%M110.4,,True,True,True,,
Clock_1Hz,Default tag table,Bool,%M110.5,,True,True,True,,
Clock_0.625Hz,Default tag table,Bool,%M110.6,,True,True,True,,
Clock_0.5Hz,Default tag table,Bool,%M110.7,,True,True,True,,
