Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
DV2135-CMD,Default tag table,Bool,%Q22.5,SMFL2 outlet drain valve Valve OPEN / CLOSE command,True,True,True,,
DV2137-CMD,Default tag table,Bool,%Q22.6,SMFL2 Filter outlet valve Valve OPEN / CLOSE command,True,True,True,,
DV2171-CMD,Default tag table,Bool,%Q22.7,MMFL2 Filter inlet drain valve Valve OPEN / CLOSE command,True,True,True,,
DV2173-CMD,Default tag table,Bool,%Q23.0,MMFL2 HEX inlet valve Valve OPEN / CLOSE command,True,True,True,,
DV4101-CMD,Default tag table,Bool,%Q24.4,S2 Vent Valve Valve OPEN / CLOSE command,True,True,True,,
DV4103-CMD,Default tag table,Bool,%Q24.5,S2 HP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV4105-CMD,Default tag table,Bool,%Q24.6,S2 LP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV4107-CMD,Default tag table,Bool,%Q24.7,S2 Vacuum valve Valve OPEN / CLOSE command,True,True,True,,
DV4109-CMD,Default tag table,Bool,%Q25.0,S2 PS Supply for WFI Loop Valve OPEN / CLOSE command,True,True,True,,
DV4111-CMD,Default tag table,Bool,%Q25.1,S2 WFI Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV4113-CMD,Default tag table,Bool,%Q25.2,S2 PW Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV4115-CMD,Default tag table,Bool,%Q25.3,S2 PS Supply for PW Loop Valve OPEN / CLOSE command,True,True,True,,
DV4117-CMD,Default tag table,Bool,%Q25.4,S2 Spray Ball 1 Valve Valve OPEN / CLOSE command,True,True,True,,
DV4119-CMD,Default tag table,Bool,%Q25.5,S2 Spray Ball 2 Valve Valve OPEN / CLOSE command,True,True,True,,
DV4121-CMD,Default tag table,Bool,%Q25.6,S2 Outlet Valve Valve OPEN / CLOSE command,True,True,True,,
DV4123-CMD,Default tag table,Bool,%Q25.7,S2 Transfer valve from vessel Valve OPEN / CLOSE command,True,True,True,,
DV4125-CMD,Default tag table,Bool,%Q26.0,S2 Transfer valve from SMFL Valve OPEN / CLOSE command,True,True,True,,
DV4127-CMD,Default tag table,Bool,%Q26.1,S2 Transfer valve to drain Valve OPEN / CLOSE command,True,True,True,,
DV4129-CMD,Default tag table,Bool,%Q26.2,S2 Transfer valve to filling Valve OPEN / CLOSE command,True,True,True,,
MI2101-RAW,Default tag table,DWord,%ID200,M2 Mass Indicator Load cell raw field value,True,True,True,,
AG2101-OUT,Default tag table,Real,%QD16,M2 Agitator Inverter speed output value,True,True,True,,
MI2101-FUD,Default tag table,Real,%MD28,M2 Mass PV fudge,True,True,True,,
hmi1Active,Default tag table,Bool,%M7.0,,True,True,True,,
hmi2Active,Default tag table,Bool,%M7.1,,True,True,True,,
hmi3Active,Default tag table,Bool,%M7.2,,True,True,True,,
hmi4Active,Default tag table,Bool,%M7.3,,True,True,True,,
hmi5Active,Default tag table,Bool,%M7.4,,True,True,True,,
hmi1Pulse,Default tag table,Bool,%M8.0,,True,True,True,,
hmi2Pulse,Default tag table,Bool,%M8.1,,True,True,True,,
hmi3Pulse,Default tag table,Bool,%M8.2,,True,True,True,,
hmi4Pulse,Default tag table,Bool,%M8.3,,True,True,True,,
hmi5Pulse,Default tag table,Bool,%M8.4,,True,True,True,,
hmi1PEdge,Default tag table,Bool,%M9.0,,True,True,True,,
hmi2PEdge,Default tag table,Bool,%M9.1,,True,True,True,,
hmi3PEdge,Default tag table,Bool,%M9.2,,True,True,True,,
hmi4PEdge,Default tag table,Bool,%M9.3,,True,True,True,,
hmi5PEdge,Default tag table,Bool,%M9.4,,True,True,True,,
hmi1Timer,Default tag table,Timer,%T5,,True,True,True,,
hmi2Timer,Default tag table,Timer,%T6,,True,True,True,,
hmi3Timer,Default tag table,Timer,%T7,,True,True,True,,
hmi4Timer,Default tag table,Timer,%T8,,True,True,True,,
hmi5Timer,Default tag table,Timer,%T9,,True,True,True,,
hmi1NEdge,Default tag table,Bool,%M9.5,,True,True,True,,
hmi2NEdge,Default tag table,Bool,%M9.6,,True,True,True,,
hmi3NEdge,Default tag table,Bool,%M9.7,,True,True,True,,
hmi4NEdge,Default tag table,Bool,%M10.0,,True,True,True,,
hmi5NEdge,Default tag table,Bool,%M10.1,,True,True,True,,
